Porcentaje de aciertos: 97,4414015927601

Errores
TagTNT	TagExtraido	PorcentajeDeError
JJ NN 10,099158587487%
VBN VBD 9,54263377575584%
NN VBP 8,88893796515095%
NN JJ 8,37437335747885%
VBN JJ 4,8983017159515%
NNS VBZ 4,88284269340341%
NN CC 4,08339038448798%
RB JJ 4,06130606656213%
VB VBP 3,87358936419249%
JJ VBP 3,59753539011948%
NN VB 3,45840418718668%
JJ VBD 2,57061460656788%
JJ CC 1,95004527285175%
JJ VBG 1,54148539122369%
NN VBG 1,46860714206842%
VBP NN 1,30076632583203%
NNS NN 1,1373423731808%
JJ RB 1,13071707780305%
VBD VBP 1,12188335063272%
RB NN 1,06667255581811%
NN RB 1,06225569223295%
VBG JJ 0,984960579492502%
JJ VB 0,836995649389369%
VBG NN 0,801660740708023%
VBN VBP 0,792827013537687%
VBZ NNS 0,715531900797244%
